thesaurus_title, gcmd_keyword
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > GEOMORPHIC LANDFORMS/PROCESSES > GLACIAL LANDFORMS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > VEGETATION > BIOMASS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > ARTHROPODS > HEXAPODS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Chemistry | Oxygen"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Waves | Wave Frequency"
"GCMD Keywords", "Earth Science | Biosphere | Ecological Dynamics | Ecosystem Functions | Biomass Dynamics"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Waves | Swells"
"NASA/GCMD Earth Science Keywords", "PHANEROZOIC > CENOZOIC > QUATERNARY > PLEISTOCENE"
"GCMD Science Keywords 5.3.8", "Atmosphere | Atmospheric Phenomena | Cyclones"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > OCEAN/LAKE RECORDS > MICROFOSSILS"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > DRESCHER INLET"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > BARRIER BAY"
"NASA/GCMD Earth Science Keywords", "BAROMETERS"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | BATHYMETRY/SEAFLOOR TOPOGRAPHY | SUBMARINE CANYONS"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > PRECIPITATION"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > SPECIES/POPULATION INTERACTIONS > SURVIVAL RATES"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Chemistry | Trace Elements/Trace Metals"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | PROTISTS | MACROALGAE (SEAWEEDS)"
"NASA/GCMD Earth Science Keywords", "Oceans > Coastal Processes > Beaches"
"NASA/GCMD Earth Science Keywords", "OBIS > OCEAN BIOGEOGRAPHIC INFORMATION SYSTEM"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Silicate"
"GCMD Keywords", "Earth Science | Terrestrial Hydrosphere | Water Quality/Water Chemistry | Chlorophyll"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Salinity/density | Salinity"
